problem,relationType,target,label
hypertension,procedure,PX_94720,1
arthritis,procedure,PX_XXXXX310,1
dyslipidemia,medication,RX_XXXXX160,1
syncope,procedure,PX_70551,1
dermatitis,medication,RX_5553,2
gout,procedure,PX_J1885,2
hematuria,lab,LAB_50221-1,2
osteoporosis,procedure,PX_G0202,1
headache,lab,LAB_20433-9,1
"mood_disorders,_including_depression",lab,LAB_X9999999-9,1
back_pain,procedure,PX_73030,1
atrial_fibrillation,procedure,PX_94760,1
back_pain,lab,LAB_17719-6,1
osteoporosis,lab,LAB_2465-3,1
uterine_fibroid,medication,RX_4603,1
dermatitis,lab,LAB_764-1,1
diverticulosis/diverticulitis,medication,RX_10737,1
diverticulosis/diverticulitis,medication,RX_XXXXX165,1
cough,lab,LAB_33762-6,2
diabetes,medication,RX_475968,2
gerd,lab,LAB_786-4,1
heart_failure,procedure,PX_36415,1
syncope,procedure,PX_93237,2
hypokalemia,lab,LAB_58413-6,1
osteoporosis,medication,RX_2062,1
dermatitis,medication,RX_7597,1
thrombocytopenia,lab,LAB_18868-0,1
heart_failure,medication,RX_XXXXX101,1
uterine_fibroid,medication,RX_4493,1
thrombocytopenia,lab,LAB_32146-3,2
back_pain,medication,RX_10636,2
syncope,medication,RX_10737,1
hypokalemia,medication,RX_5470,1
headache,procedure,PX_XXXXX461,1
kidney_stone,lab,LAB_18864-9,1
"mood_disorders,_including_depression",medication,RX_XXXXX66,1
hypertension,procedure,PX_XXXXX378,1
"mood_disorders,_including_depression",medication,RX_39993,2
asthma,procedure,PX_94760,2
thrombocytopenia,lab,LAB_11156-7,1
headache,lab,LAB_58413-6,1
sleep_apnea,lab,LAB_14316-4,1
headache,procedure,PX_97001,1
arthritis,procedure,PX_72170,2
sleep_apnea,procedure,PX_XXXXX228,1
copd,procedure,PX_93268,1
atrial_fibrillation,medication,RX_XXXXX71,1
chronic_kidney_disease,procedure,PX_76770,2
dyslipidemia,procedure,PX_71250,1
uti,medication,RX_6922,2
coronary_artery_disease,lab,LAB_18919-1,1
sleep_apnea,lab,LAB_713-8,1
rheumatoid_arthritis,lab,LAB_13068-2,1
uterine_fibroid,medication,RX_XXXXX26,1
thyroid_hormone_disorders,medication,RX_XXXXX128,1
gerd,procedure,PX_94760,1
rheumatoid_arthritis,lab,LAB_5274-6,1
"mood_disorders,_including_depression",lab,LAB_18282-4,2
hypokalemia,lab,LAB_6768-6,1
atrial_fibrillation,lab,LAB_3024-7,2
kidney_stone,medication,RX_4850,1
cough,lab,LAB_6690-2,2
hypertension,procedure,PX_J1100,1
hypertension,procedure,PX_XXXXX436,2
uterine_fibroid,lab,LAB_736-9,1
cough,lab,LAB_777-3,1
dyslipidemia,lab,LAB_62238-1,1
"mood_disorders,_including_depression",procedure,PX_XXXXX389,1
cough,lab,LAB_704-7,1
seizure_disorder,medication,RX_42351,1
rheumatoid_arthritis,lab,LAB_6690-2,1
asthma,procedure,PX_XXXXX386,2
back_pain,medication,RX_XXXXX66,1
diverticulosis/diverticulitis,medication,RX_XXXXX91,1
thrombocytopenia,lab,LAB_6742-1,1
anemia,lab,LAB_31112-6,2
syncope,medication,RX_704,1
back_pain,procedure,PX_XXXXX382,1
chronic_kidney_disease,lab,LAB_2888-6,2
uti,lab,LAB_50560-2,1
dyslipidemia,lab,LAB_16616-5,2
thrombocytopenia,lab,LAB_6301-6,2
hematuria,lab,LAB_18982-9,1
uterine_fibroid,lab,LAB_43304-5,1
gout,procedure,PX_71020,1
heart_failure,lab,LAB_17861-6,1
osteoporosis,medication,RX_313663,1
gout,lab,LAB_57093-7,1
headache,medication,RX_40254,2
sleep_apnea,procedure,PX_71020,1
diverticulosis/diverticulitis,medication,RX_26225,1
anemia,medication,RX_XXXXX21,1
dermatitis,procedure,PX_96912,1
uterine_fibroid,procedure,PX_76856,2
thrombocytopenia,medication,RX_2599,1
rheumatoid_arthritis,lab,LAB_11156-7,1
gerd,procedure,PX_XXXXX456,1
cough,lab,LAB_X8888888-8,1
kidney_stone,medication,RX_1665059,1
arthritis,medication,RX_32613,2
rheumatoid_arthritis,procedure,PX_XXXXX130,2
hypertension,procedure,PX_G0202,1
seizure_disorder,procedure,PX_90862,2
dyslipidemia,medication,RX_32968,1
syncope,lab,LAB_741-9,1
"mood_disorders,_including_depression",lab,LAB_9738-6,1
uti,procedure,PX_78709,1
rheumatoid_arthritis,lab,LAB_704-7,1
uterine_fibroid,lab,LAB_43305-2,1
arthritis,lab,LAB_20448-7,1
cough,lab,LAB_34487-9,2
asthma,lab,LAB_6087-1,1
thrombocytopenia,medication,RX_26225,1
anemia,lab,LAB_2498-4,2
gout,medication,RX_6579,1
diverticulosis/diverticulitis,medication,RX_7299,1
arthritis,medication,RX_25480,1
rheumatoid_arthritis,medication,RX_77655,1
thrombocytopenia,lab,LAB_789-8,1
seizure_disorder,procedure,PX_95810,1
hematuria,procedure,PX_76856,2
"mood_disorders,_including_depression",lab,LAB_764-1,1
gerd,procedure,PX_43239,2
osteoporosis,procedure,PX_XXXXX401,1
hematuria,procedure,PX_78709,1
gout,medication,RX_32613,2
hematuria,procedure,PX_52310,2
cholelithiasis,procedure,PX_XXXXX375,2
uterine_fibroid,medication,RX_202494,2
diverticulosis/diverticulitis,lab,LAB_789-8,1
hypokalemia,procedure,PX_71250,1
coronary_artery_disease,procedure,PX_XXXXX364,1
uti,lab,LAB_18864-9,2
dermatitis,lab,LAB_2324-2,1
cholelithiasis,medication,RX_XXXXX82,1
sleep_apnea,medication,RX_21212,1
seizure_disorder,lab,LAB_4086-5,2
coronary_artery_disease,procedure,PX_XXXXX409,2
headache,lab,LAB_33569-5,1
diabetes,lab,LAB_6768-6,1
thyroid_hormone_disorders,medication,RX_8896,1
headache,lab,LAB_2991-8,1
thrombocytopenia,lab,LAB_14979-9,2
headache,procedure,PX_72156,1
diabetes,lab,LAB_1986-9,1
asthma,lab,LAB_711-2,1
anemia,procedure,PX_99144,1
uti,medication,RX_11248,1
syncope,procedure,PX_XXXXX301,2
rheumatoid_arthritis,lab,LAB_11013-0,1
gerd,lab,LAB_713-8,1
gout,lab,LAB_4544-3,1
diabetes,lab,LAB_2157-6,1
coronary_artery_disease,lab,LAB_777-3,1
arthritis,procedure,PX_20610,1
kidney_stone,medication,RX_4337,1
diabetes,procedure,PX_G0202,1
coronary_artery_disease,procedure,PX_93798,2
uti,lab,LAB_50560-2,1
coronary_artery_disease,medication,RX_35208,1
heart_failure,procedure,PX_XXXXX223,2
asthma,medication,RX_2400,1
hypertension,medication,RX_3407,1
dermatitis,lab,LAB_18919-1,1
cholelithiasis,medication,RX_XXXXX124,1
hypertension,procedure,PX_XXXXX310,1
cholelithiasis,lab,LAB_9795-6,1
cough,procedure,PX_XXXXX378,1
cholelithiasis,procedure,PX_J2805,2
dyslipidemia,procedure,PX_XXXXX201,1
thrombocytopenia,lab,LAB_13068-2,1
sleep_apnea,lab,LAB_33219-7,1
sleep_apnea,medication,RX_1545653,1
back_pain,procedure,PX_45378,1
osteoporosis,medication,RX_XXXXX76,1
hypokalemia,procedure,PX_93744,1
asthma,medication,RX_5032,1
headache,lab,LAB_4537-7,2
diverticulosis/diverticulitis,medication,RX_5492,1
heart_failure,lab,LAB_6768-6,1
hypokalemia,medication,RX_5492,1
hematuria,lab,LAB_18998-5,2
uti,medication,RX_32675,2
dermatitis,medication,RX_39952,2
osteoporosis,medication,RX_42351,1
gout,lab,LAB_2160-0,2
copd,procedure,PX_95810,1
rheumatoid_arthritis,medication,RX_187832,1
anemia,lab,LAB_4551-8,1
thrombocytopenia,lab,LAB_742-7,1
dermatitis,procedure,PX_11100,2
asthma,lab,LAB_48345-3,1
arthritis,lab,LAB_3084-1,1
uterine_fibroid,lab,LAB_731-0,1
atrial_fibrillation,medication,RX_10829,1
diabetes,procedure,PX_XXXXX266,1
coronary_artery_disease,procedure,PX_95811,1
anemia,medication,RX_XXXXX159,1
chronic_kidney_disease,medication,RX_XXXXX169,1
hematuria,medication,RX_4099,1
asthma,procedure,PX_94762,1
uterine_fibroid,lab,LAB_2502-3,1
dyslipidemia,medication,RX_XXXXX35,1
syncope,procedure,PX_XXXXX440,1
cough,procedure,PX_94070,1
uti,lab,LAB_18964-7,2
sleep_apnea,lab,LAB_742-7,1
dermatitis,medication,RX_XXXXX112,2
cough,procedure,PX_94640,2
cough,medication,RX_3640,2
kidney_stone,procedure,PX_76770,2
sleep_apnea,lab,LAB_18282-4,1
dyslipidemia,procedure,PX_XXXXX407,2
thrombocytopenia,lab,LAB_53322-4,1
thrombocytopenia,lab,LAB_49296-7,1
copd,procedure,PX_93000,2
asthma,lab,LAB_6099-6,1
copd,lab,LAB_19261-7,1
headache,medication,RX_6754,1
diabetes,procedure,PX_99144,1
dermatitis,medication,RX_XXXXX157,2
seizure_disorder,lab,LAB_18282-4,1
copd,procedure,PX_XXXXX88,1
dermatitis,lab,LAB_13068-2,1
cough,lab,LAB_770-8,2
headache,lab,LAB_4086-5,1
uterine_fibroid,medication,RX_7052,2
diabetes,lab,LAB_2093-3,1
cholelithiasis,lab,LAB_789-8,1
dyslipidemia,lab,LAB_2093-3,2
diabetes,procedure,PX_XXXXX395,1
syncope,lab,LAB_2340-8,2
uti,lab,LAB_18969-6,2
gerd,lab,LAB_777-3,1
headache,lab,LAB_49276-9,1
uti,lab,LAB_60026-2,2
cholelithiasis,lab,LAB_2823-3,1
hypokalemia,medication,RX_7052,1
dermatitis,lab,LAB_10644-3,1
coronary_artery_disease,medication,RX_5224,2
gerd,lab,LAB_49024-3,1
thrombocytopenia,lab,LAB_706-2,1
osteoporosis,lab,LAB_4537-7,1
thrombocytopenia,medication,RX_7804,1
chronic_kidney_disease,medication,RX_6387,1
diabetes,lab,LAB_13964-2,1
dermatitis,medication,RX_4462,2
seizure_disorder,lab,LAB_711-2,1
osteoporosis,procedure,PX_90732,1
thrombocytopenia,medication,RX_2598,1
hypertension,procedure,PX_73564,1
gerd,medication,RX_1223,1
osteoporosis,procedure,PX_73520,1
uti,procedure,PX_XXXXX402,1
rheumatoid_arthritis,procedure,PX_J1020,2
dermatitis,procedure,PX_XXXXX417,1
thrombocytopenia,lab,LAB_10389-5,1
rheumatoid_arthritis,medication,RX_232158,2
dermatitis,lab,LAB_5048-4,1
headache,procedure,PX_XXXXX91,2
copd,procedure,PX_93306,2
osteoporosis,procedure,PX_77082,2
gerd,medication,RX_11124,1
sleep_apnea,procedure,PX_XXXXX301,1
syncope,procedure,PX_93228,2
heart_failure,lab,LAB_785-6,1
back_pain,lab,LAB_1798-8,1
copd,lab,LAB_736-9,1
syncope,procedure,PX_XXXXX289,2
uterine_fibroid,lab,LAB_X8888888-8,1
back_pain,procedure,PX_73510,2
seizure_disorder,lab,LAB_17713-9,2
headache,medication,RX_187832,1
seizure_disorder,medication,RX_36437,1
back_pain,lab,LAB_8251-1,1
heart_failure,lab,LAB_2823-3,2
uti,medication,RX_82122,2
rheumatoid_arthritis,lab,LAB_2143-6,1
cholelithiasis,medication,RX_325514,1
"mood_disorders,_including_depression",medication,RX_42347,2
rheumatoid_arthritis,medication,RX_614391,2
back_pain,procedure,PX_XXXXX373,2
osteoporosis,lab,LAB_35674-1,1
kidney_stone,medication,RX_26225,1
uterine_fibroid,medication,RX_8745,1
arthritis,lab,LAB_29958-6,1
anemia,procedure,PX_J1441,2
atrial_fibrillation,lab,LAB_4542-7,1
atrial_fibrillation,medication,RX_2409,1
back_pain,procedure,PX_76092,1
uterine_fibroid,medication,RX_XXXXX54,1
cough,medication,RX_2670,1
syncope,procedure,PX_70470,1
thyroid_hormone_disorders,medication,RX_4099,1
dyslipidemia,procedure,PX_XXXXX461,1
dyslipidemia,medication,RX_XXXXX98,1
copd,medication,RX_591622,1
headache,medication,RX_6574,2
rheumatoid_arthritis,procedure,PX_J1100,2
back_pain,medication,RX_3423,2
kidney_stone,lab,LAB_50551-1,1
copd,lab,LAB_19146-0,1
atrial_fibrillation,lab,LAB_4544-3,1
copd,procedure,PX_94060,2
chronic_kidney_disease,lab,LAB_2162-6,2
kidney_stone,procedure,PX_J8499,1
heart_failure,medication,RX_7806,2
thrombocytopenia,procedure,PX_J1440,2
seizure_disorder,lab,LAB_19270-8,2
copd,lab,LAB_6075-6,1
copd,lab,LAB_18996-9,1
diabetes,medication,RX_XXXXX49,1
seizure_disorder,medication,RX_2598,2
diverticulosis/diverticulitis,procedure,PX_96360,1
uti,procedure,PX_XXXXX385,1
arthritis,lab,LAB_1988-5,1
osteoporosis,procedure,PX_97001,1
osteoporosis,lab,LAB_2160-0,1
arthritis,medication,RX_5521,1
syncope,medication,RX_114477,2
arthritis,procedure,PX_XXXXX21,1
gerd,lab,LAB_57414-5,1
thrombocytopenia,medication,RX_69749,1
rheumatoid_arthritis,lab,LAB_1989-3,1
gout,lab,LAB_751-8,2
heart_failure,procedure,PX_93797,1
rheumatoid_arthritis,procedure,PX_73560,2
diabetes,procedure,PX_97802,1
heart_failure,procedure,PX_93741,2
thyroid_hormone_disorders,procedure,PX_XXXXX301,1
"mood_disorders,_including_depression",lab,LAB_42251-9,2
cholelithiasis,medication,RX_XXXXX110,1
asthma,procedure,PX_94761,2
chronic_kidney_disease,medication,RX_6916,2
diabetes,procedure,PX_73630,1
uti,medication,RX_XXXXX161,1
gout,lab,LAB_2857-1,1
uti,lab,LAB_53317-4,2
anemia,medication,RX_221147,1
thrombocytopenia,procedure,PX_70450,2
thyroid_hormone_disorders,medication,RX_8794,2
dyslipidemia,medication,RX_7052,1
uti,procedure,PX_52332,2
copd,medication,RX_6902,2
diverticulosis/diverticulitis,lab,LAB_742-7,1
uti,medication,RX_591622,1
thyroid_hormone_disorders,lab,LAB_2951-2,1
"mood_disorders,_including_depression",medication,RX_26225,1
kidney_stone,lab,LAB_50553-7,1
copd,medication,RX_XXXXX79,2
diverticulosis/diverticulitis,medication,RX_1665059,1
heart_failure,lab,LAB_718-7,2
diverticulosis/diverticulitis,lab,LAB_53335-6,1
sleep_apnea,procedure,PX_93005,1
gerd,procedure,PX_74000,1
thyroid_hormone_disorders,medication,RX_1760,1
copd,medication,RX_2194,1
gout,medication,RX_278567,2
rheumatoid_arthritis,procedure,PX_90656,1
dyslipidemia,lab,LAB_786-4,1
back_pain,lab,LAB_18282-4,1
uterine_fibroid,procedure,PX_XXXXX443,1
dyslipidemia,procedure,PX_90746,1
gout,medication,RX_93263,2
hypertension,lab,LAB_2085-9,1
seizure_disorder,medication,RX_7806,1
cholelithiasis,lab,LAB_24108-3,1
coronary_artery_disease,medication,RX_1808,1
gerd,lab,LAB_46128-5,1
hypokalemia,medication,RX_6582,1
coronary_artery_disease,medication,RX_3407,1
atrial_fibrillation,procedure,PX_XXXXX287,2
back_pain,lab,LAB_42251-9,2
seizure_disorder,medication,RX_321988,1
arthritis,medication,RX_42372,1
cholelithiasis,medication,RX_6915,2
anemia,medication,RX_10156,1
copd,lab,LAB_895-3,1
syncope,lab,LAB_742-7,1
copd,lab,LAB_704-7,1
rheumatoid_arthritis,procedure,PX_90732,1
atrial_fibrillation,procedure,PX_XXXXX333,1
arthritis,procedure,PX_73520,2
"mood_disorders,_including_depression",lab,LAB_14804-9,1
diverticulosis/diverticulitis,medication,RX_77492,1
cough,lab,LAB_19113-0,1
diabetes,lab,LAB_30934-4,1
rheumatoid_arthritis,medication,RX_362,1
back_pain,medication,RX_XXXXX116,2
cough,lab,LAB_664-3,1
atrial_fibrillation,lab,LAB_731-0,1
uti,medication,RX_4053,1
chronic_kidney_disease,lab,LAB_2236-8,1
gerd,procedure,PX_XXXXX0,1
rheumatoid_arthritis,procedure,PX_XXXXX310,1
cholelithiasis,lab,LAB_3094-0,1
back_pain,lab,LAB_72582-0,1
osteoporosis,procedure,PX_J1740,2
asthma,lab,LAB_6075-6,1
rheumatoid_arthritis,medication,RX_XXXXX78,2
atrial_fibrillation,lab,LAB_2571-8,1
gerd,procedure,PX_XXXXX418,2
gerd,medication,RX_637366,1
kidney_stone,procedure,PX_XXXXX149,2
diabetes,lab,LAB_1558-6,1
rheumatoid_arthritis,procedure,PX_XXXXX136,2
uterine_fibroid,medication,RX_6579,1
hematuria,medication,RX_26225,1
back_pain,medication,RX_187832,2
arthritis,medication,RX_21949,1
thrombocytopenia,lab,LAB_882-1,1
arthritis,procedure,PX_J1030,2
anemia,procedure,PX_J2501,1
anemia,procedure,PX_71250,1
diabetes,medication,RX_XXXXX50,1
hematuria,lab,LAB_32167-9,1
back_pain,medication,RX_24605,2
hypokalemia,lab,LAB_30934-4,1
asthma,medication,RX_XXXXX0,1
gout,procedure,PX_J3301,2
cholelithiasis,procedure,PX_78223,2
heart_failure,medication,RX_1202,2
gerd,medication,RX_10156,2
gerd,lab,LAB_6098-8,1
dyslipidemia,lab,LAB_2986-8,1
copd,medication,RX_4053,1
gout,lab,LAB_3084-1,2
dyslipidemia,procedure,PX_94010,1
rheumatoid_arthritis,medication,RX_278567,2
diabetes,lab,LAB_1975-2,1
chronic_kidney_disease,procedure,PX_XXXXX378,1
copd,lab,LAB_6099-6,1
hypertension,procedure,PX_93224,1
heart_failure,procedure,PX_93284,2
diabetes,medication,RX_XXXXX166,1
diverticulosis/diverticulitis,lab,LAB_731-0,1
thyroid_hormone_disorders,lab,LAB_8098-6,1
cholelithiasis,lab,LAB_704-7,1
thyroid_hormone_disorders,medication,RX_6470,1
sleep_apnea,lab,LAB_17856-6,1
cholelithiasis,medication,RX_XXXXX89,1
diverticulosis/diverticulitis,lab,LAB_53322-4,1
thyroid_hormone_disorders,lab,LAB_3094-0,1
gerd,medication,RX_XXXXX7,2
heart_failure,lab,LAB_3968-5,1
cholelithiasis,lab,LAB_2236-8,1
hypokalemia,lab,LAB_63453-5,1
hematuria,lab,LAB_7000-3,1
chronic_kidney_disease,lab,LAB_35365-6,1
seizure_disorder,medication,RX_10156,1
copd,procedure,PX_93351,2
thyroid_hormone_disorders,lab,LAB_2258-2,1
seizure_disorder,medication,RX_38404,2
dyslipidemia,procedure,PX_71020,1
dyslipidemia,procedure,PX_XXXXX333,1
seizure_disorder,lab,LAB_3040-3,1
thrombocytopenia,lab,LAB_18919-1,1
diverticulosis/diverticulitis,lab,LAB_751-8,1
coronary_artery_disease,lab,LAB_2951-2,1
thrombocytopenia,medication,RX_24947,1
atrial_fibrillation,medication,RX_6916,1
"mood_disorders,_including_depression",medication,RX_114477,1
diverticulosis/diverticulitis,lab,LAB_787-2,1
diabetes,lab,LAB_62238-1,1
uterine_fibroid,procedure,PX_57456,1
coronary_artery_disease,lab,LAB_11156-7,1
back_pain,lab,LAB_2657-5,1
sleep_apnea,medication,RX_2180,1
seizure_disorder,medication,RX_15996,1
coronary_artery_disease,medication,RX_136411,2
cholelithiasis,lab,LAB_770-8,1
anemia,medication,RX_XXXXX85,2
dyslipidemia,lab,LAB_14804-9,1
osteoporosis,procedure,PX_71270,1
anemia,procedure,PX_90732,1
atrial_fibrillation,procedure,PX_93227,2
back_pain,medication,RX_XXXXX87,1
seizure_disorder,lab,LAB_787-2,1
hematuria,lab,LAB_60340-7,1
hypertension,procedure,PX_93289,1
sleep_apnea,lab,LAB_19113-0,1
rheumatoid_arthritis,procedure,PX_97001,1
coronary_artery_disease,procedure,PX_XXXXX213,2
gerd,procedure,PX_XXXXX310,1
diabetes,procedure,PX_XXXXX362,1
cough,lab,LAB_6195-2,1
gerd,medication,RX_1307404,1
cholelithiasis,lab,LAB_17861-6,1
syncope,medication,RX_9863,1
anemia,procedure,PX_91110,2
thrombocytopenia,lab,LAB_18974-6,1
hypokalemia,lab,LAB_72590-3,1
atrial_fibrillation,lab,LAB_5964-2,2
dyslipidemia,procedure,PX_76092,1
